cooling_yr,rigorous_decay_heat_W,rigorous_activity_Bq,curated_decay_heat_W,curated_activity_Bq
0,7.946606e+06,2.764272e+19,1.654765e+04,1.230069e+17
1,4.840125e+04,4.658101e+17,1.422856e+04,1.115351e+17
3,1.873850e+04,2.215283e+17,1.123286e+04,9.546243e+16
5,1.234360e+04,1.613617e+17,9.518544e+03,8.486778e+16
10,8.965717e+03,1.193441e+17,7.496960e+03,6.871921e+16
30,5.987917e+03,6.628906e+16,4.643308e+03,3.726645e+16
50,4.320723e+03,4.002106e+16,3.078535e+03,2.158334e+16
100,2.274047e+03,1.285032e+16,1.271523e+03,6.421592e+15
300,9.537161e+02,1.297930e+15,3.101726e+02,4.196990e+14
1000,4.170534e+02,5.966092e+14,2.086559e+02,2.518338e+14
10000,1.126768e+02,2.288397e+14,1.107802e+02,1.361148e+14
100000,9.994923e+00,2.566292e+13,6.061078e+00,1.048267e+13
